timestamp,open,high,low,close,volume
2025-08-24,204.07,211.98,201.02,205.98,2069269.61385279
2025-08-25,205.96,213.49,185.41,187.21,2732788.24498917
2025-08-26,187.21,198.1,185.61,195.87,1238426.00115457
2025-08-27,195.87,212.09,193.77,202.93,2640015.95868801
2025-08-28,202.94,216.88,201.65,214.43,2769100.5238099
2025-08-29,214.44,217.95,199.86,205.1,3176259.77251642
2025-08-30,205.1,207.04,197.57,202.74,885970.39936857
2025-08-31,202.74,206.67,200.29,200.63,848713.02912768
2025-09-01,200.62,204.57,194.2,197.32,1340108.4786392
2025-09-02,197.3,209.7,196.74,209.64,1815370.57688458
2025-09-03,209.63,213.0,207.43,210.83,1065590.53338226
2025-09-04,210.83,212.0,201.81,202.32,938533.9424299
2025-09-05,202.3,210.07,201.0,203.37,1203794.33764867
2025-09-06,203.37,204.66,199.34,200.18,588063.03258324
2025-09-07,200.19,207.95,200.13,206.34,836100.04911433
2025-09-08,206.33,217.17,205.56,214.15,2034372.61392318
2025-09-09,214.15,219.77,210.81,217.26,1431186.58014921
2025-09-10,217.23,225.96,215.09,224.14,1652644.68212576
2025-09-11,224.13,229.05,221.78,228.85,1225263.69879705
2025-09-12,228.83,244.31,228.21,242.36,2586907.73913052
2025-09-13,242.35,244.34,235.35,242.5,1410431.32082061
2025-09-14,242.5,250.0,239.25,239.86,1808965.06887483
2025-09-15,239.85,244.09,230.18,234.35,1823480.37673354
2025-09-16,234.33,241.0,231.34,237.01,1277889.07253145
2025-09-17,237.01,246.73,232.2,244.91,1571095.62549181
2025-09-18,244.92,253.61,242.63,247.56,1415711.55296183
2025-09-19,247.59,248.63,235.24,238.67,1040032.31957316
2025-09-20,238.66,241.33,237.03,239.58,380129.75977061
2025-09-21,239.57,241.93,235.47,236.31,348281.56809214
2025-09-22,236.28,237.08,213.71,220.56,1988582.43443243
2025-09-23,220.56,221.79,212.46,213.31,1004735.72670021
2025-09-24,213.31,216.49,204.94,211.67,1432605.18916606
2025-09-25,211.65,212.53,191.49,192.8,2585435.06346606
2025-09-26,192.81,205.62,190.82,205.26,2573887.28473885
2025-09-27,205.26,205.56,200.0,203.56,561677.52071475
2025-09-28,203.56,211.04,198.04,210.89,699647.4280397
2025-09-29,210.9,214.89,204.74,212.85,1027578.61523414
2025-09-30,212.84,213.83,204.25,208.74,1152953.02943463
2025-10-01,208.75,222.88,206.32,222.15,1377581.25167896
2025-10-02,222.17,235.07,219.64,234.87,1640153.08523501
